Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
POLES ADVANCE,ADVANCE_2020_WB2C,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,40062.5695,33007.721,25954.59675,20038.33775,14057.5925,9166.30225,5243.88325,2200.255875,-139.0945,-1898.5155,-4251.8905,-6128.630875,-8086.948875,-9667.31625,-10518.5385,-11901.40988
POLES ADVANCE,ADVANCE_2030_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,42768.79575,39624.2535,18414.51913,6947.415438,2286.43375,-2187.464125,-5143.257313,-8152.294156,-9710.603813,-10935.69747,-12733.01484,-14431.39188,-15850.14066,-17930.80941,-18401.48863,-18303.07831
POLES ADVANCE,ADVANCE_2030_Price1.5C,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,42762.76825,39602.0545,19191.708,8971.583625,4706.699063,245.8409375,-3138.115875,-6020.66975,-8204.76,-9507.45875,-10977.40163,-12600.79244,-13935.70269,-15553.08838,-16272.35063,-15569.17669
POLES ADVANCE,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,42762.76825,39602.0545,30029.71625,19615.1285,13406.38675,8575.962,4290.9395,812.37275,-1496.66275,-3336.93375,-5616.55025,-7619.7595,-9279.116875,-11046.69025,-11964.91513,-13354.23463
REMIND 1.5,EMC_Def_100$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,35426.13672,,22357.03906,,6096.399902,,-4592.647949,,-9381.117188,,-12080.39746,,-13677.2334,,-14462.82715,,-14800.8291
REMIND 1.5,EMC_LimSW_100$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,35563.01172,,22986.89063,,7652.563965,,-1362.323975,,-5218.419922,,-8503.119141,,-10357.20801,,-11745.19434,,-12926.63281
REMIND 1.5,EMC_NucPO_100$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,35468.60156,,22347.99023,,5982.491211,,-4667.638184,,-9171.200195,,-11860.57617,,-13521.24512,,-14393.98242,,-14796.9541
REMIND 1.5,EMC_lowEI_100$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,34451.27344,,20404.9707,,4127.875977,,-6638.521973,,-11060.98047,,-13444.91895,,-14841.10547,,-14973.99805,,-15005.4082
REMIND 1.7,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,36199.1,25056.33,15186.2,8161.717,2464.797,-1894.876,-5689.117,-8680.534,,-12133.05,,-12884.94,,-12748.99,,-13373.91
REMIND 1.7,ADVANCE_2030_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,43281.0669,40939.5626,27962.1167,13482.7302,1595.2072,-5801.7884,-10185.7893,-13345.3676,,-16616.0559,,-16585.2807,,-15703.4896,,-15504.3336
REMIND 1.7,ADVANCE_2030_Price1.5C,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,43281.07,40939.56,29423.21,17683.65,7573.052,741.2209,-4048.961,-7811.121,,-11916.31,,-12946.82,,-12845.55,,-13411.42
REMIND 1.7,CEMICS-1.5-CDR12,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,34806.82,21833.63,9872.668,2026.83,-2386.042,-4138.433,-5355.946,-6649.137,,-9079.037,,-10585.01,,-11120.81,,-11338.93
REMIND 1.7,CEMICS-1.5-CDR20,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,37382.51,26709.88,18082.96,11858.97,6267.964,1169.867,-3775.278,-7935.232,,-13286.6,,-15240,,-17402.06,,-18831.12
REMIND 1.7,CEMICS-1.5-CDR8,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,31680.37,16490.85,2461.416,-2537.753,-4129.65,-5162.446,-5929.964,-6392.187,,-6837.227,,-7085.294,,-7258.337,,-7458.134
REMIND-MAgPIE 1.5,SSP1-19,World,Emissions|CO2,Mt CO2/yr,35250,36250,,35200,,26310,,16410,,3761,,-6315,,-9558,,-11390,,-12770,,-13370
REMIND-MAgPIE 1.5,SSP2-19,World,Emissions|CO2,Mt CO2/yr,35090,37010,,42310,,31110,,8623,,-7250,,-10480,,-12620,,-13640,,-13240,,-14180
REMIND-MAgPIE 1.5,SSP5-19,World,Emissions|CO2,Mt CO2/yr,35280,36370,,39700,,37770,,22140,,1254,,-12840,,-16250,,-17930,,-19550,,-21310
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,33799.5813,36445.8913,40425.1103,41856.0778,33555.1703,24570.5493,16512.5609,10060.4881,4619.2232,94.5885,-4090.2976,-7360.4691,,-11298.7437,,-13138.914,,-14203.1937,,-15378.92
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_cost100,World,Emissions|CO2,Mt CO2/yr,33370.29,35830.9362,40322.3094,44324.3213,37835.0119,29471.7432,22245.8606,17516.5556,12502.5378,6350.5594,-474.3377,-5807.1839,,-10894.7062,,-13813.8947,,-15174.4973,,-16081.9449
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_full,World,Emissions|CO2,Mt CO2/yr,33370.29,35851.3548,40379.0031,44405.855,38385.9735,30403.9504,22966.5347,17147.8413,10849.3269,4550.1743,-1330.2197,-5590.1219,,-10245.5535,,-13380.2102,,-15037.9157,,-15912.9872
REMIND-MAgPIE 1.7-3.0,EMF33_1.5C_nofuel,World,Emissions|CO2,Mt CO2/yr,33370.29,35843.5008,40366.2099,44275.8219,37481.317,28803.7581,20116.5295,12733.3845,6392.1734,984.451,-3527.505,-6407.0281,,-8868.8073,,-10881.7843,,-12566.8367,,-13827.2495
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,World,Emissions|CO2,Mt CO2/yr,33796.6401,37410.5079,42089.3323,44855.7889,44494.3323,42923.0542,32440.474,18809.5941,5661.2003,-4040.1044,-10787.6364,-14933.5797,,-18340.6009,,-18851.7539,,-18527.6003,,-18642.7363
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,World,Emissions|CO2,Mt CO2/yr,33796.6401,37217.68,41664.2625,42685.568,34758.2135,26082.211,17525.4721,10660.0372,4455.4471,-541.2075,-4780.5668,-7910.738,,-11969.9749,,-13816.0279,,-14655.5736,,-15694.3266
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,World,Emissions|CO2,Mt CO2/yr,33794.2839,37077.8112,41165.644,43038.6211,41044.8024,37495.8715,28195.7179,17159.2106,6134.6305,-2431.2328,-8580.7993,-12756.5576,,-16611.9001,,-17438.7965,,-17617.0417,,-17905.074
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,World,Emissions|CO2,Mt CO2/yr,33794.2839,37077.8112,41171.3034,42766.3727,39203.9115,33937.3128,25061.4548,15837.9671,6883.6637,-1126.3657,-7069.9505,-11225.2887,,-15487.4406,,-16904.2555,,-17290.8254,,-17476.3453
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,World,Emissions|CO2,Mt CO2/yr,33800.938,37396.0454,42149.9955,42692.5806,29516.213,15307.7392,4242.9968,-2179.6915,-4988.1631,-5753.3094,-6022.0726,-6307.8341,,-6465.7913,,-5959.3234,,-6136.9494,,-5770.2467
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Def,World,Emissions|CO2,Mt CO2/yr,33780.2776,38691.4368,43274.7346,36816.1206,28357.1702,21518.3291,15884.478,10634.9342,5632.9958,1458.0328,-2763.7445,-6368.1331,,-10909.2946,,-12903.6344,,-13637.3576,,-14365.1705
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Sust,World,Emissions|CO2,Mt CO2/yr,33780.2776,38520.6718,43700.6484,32819.6706,20837.9879,14126.8732,8156.2287,2513.917,-1123.5862,-3016.3636,-3899.0646,-4284.6019,,-5464.8372,,-6027.4074,,-7233.1701,,-8013.415
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_early,World,Emissions|CO2,Mt CO2/yr,33780.2776,38676.3616,43311.7488,31112.0643,18993.2566,13209.6671,8738.7196,5364.0426,2383.4393,-264.4655,-2555.4495,-4330.6057,,-6389.5789,,-6992.9443,,-7914.2713,,-9154.5148
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_lifesty,World,Emissions|CO2,Mt CO2/yr,33780.2776,38662.13,43140.9858,37154.6856,28740.2834,21698.6393,15551.9364,9664.8192,4445.5042,470.9627,-3095.1328,-6265.1765,,-10480.9302,,-12127.3258,,-13363.9119,,-14109.9206
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_regul,World,Emissions|CO2,Mt CO2/yr,33780.2776,38696.4249,44118.2749,37159.2558,26273.7846,17448.5391,11370.899,6336.954,2075.5504,-1449.9454,-4774.8124,-7217.4837,,-9429.3594,,-9450.4976,,-9222.0958,,-8861.1408
REMIND-MAgPIE 1.7-3.0,SMP_2C_Sust,World,Emissions|CO2,Mt CO2/yr,33780.2776,38683.6868,43943.0357,36259.1658,27192.7155,22915.6008,18546.5126,13280.0557,8604.8218,5978.8279,4135.3396,2764.1242,,938.98,,219.1103,,-1307.5507,,-2092.6667
REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty,World,Emissions|CO2,Mt CO2/yr,33780.2776,38655.6099,43224.7189,39878.5567,33910.5771,29519.7891,24561.7031,19392.255,13590.2263,9046.6967,5577.2645,2719.859,,-2235.3599,,-5482.0337,,-8024.851,,-9562.0102
REMIND-MAgPIE 1.7-3.0,SMP_2C_regul,World,Emissions|CO2,Mt CO2/yr,33780.2776,38689.4814,44184.5511,40510.5923,33250.8571,27505.3883,21789.856,16315.8936,11477.3211,7171.3953,3593.6053,974.3986,,-2275.5954,,-3633.2658,,-4306.9124,,-4547.726
WITCH-GLOBIOM 3.1,SSP1-19,World,Emissions|CO2,Mt CO2/yr,31922.04435,35303.38776,,37312.30711,,10560.00846,,7435.934987,,3099.936979,,-695.7446287,,-3765.20728,,-7221.593977,,-9246.603193,,-9648.343442
WITCH-GLOBIOM 3.1,SSP4-19,World,Emissions|CO2,Mt CO2/yr,31922.04435,35303.38776,,39253.00149,,12740.21195,,9285.984188,,4192.561932,,-184.167914,,-3538.629547,,-7245.666475,,-9358.983833,,-10801.62372
WITCH-GLOBIOM 4.2,ADVANCE_2020_1.5C-2100,World,Emissions|CO2,Mt CO2/yr,31743.82847,34057.08892,35659.7685,37303.32932,21322.81018,14766.57407,11451.16437,9412.112579,7395.441217,5205.080624,2987.986071,533.9092035,-2136.633319,-5135.117975,-8309.299668,-10608.48996,-12698.48323,-14565.93019,-15953.26536,-17206.77651
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,32849.4366,35674.1208,37811.00746,40656.52654,28166.95761,20765.69975,17849.43292,15379.19882,12687.03628,10330.785,,4908.629446,,1820.006029,,-1909.802031,,-5802.118874,,-8298.142767
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,World,Emissions|CO2,Mt CO2/yr,32849.4366,35674.1208,37811.00746,40656.52654,25252.11119,15430.84104,10880.29623,7508.62485,4230.11475,1743.386378,,-2903.374517,,-6157.606671,,-10988.89363,,-14723.04929,,-14222.97141
