Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,World,Emissions|CO2,Mt CO2/yr,37636.19286,40078.80645,,40497.53707,,29715.93127,,21753.69179,,12782.12836,,6578.386943,,-307.066343,,-6081.007049,,-9145.058119,,-10917.10985
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C,World,Emissions|CO2,Mt CO2/yr,37637.39086,40078.93122,,40500.10381,,40993.42084,,31640.6211,,23589.13221,,13814.33184,,7675.47192,,899.0624412,,-4758.43964,,-7518.239188
MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,37634.45651,40078.58149,,40497.52789,,40989.66583,,21205.08399,,10695.09246,,2704.689806,,-2044.810427,,-7050.249993,,-11502.56705,,-12420.49491
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,33452.23989,,28824.37311,,20168.87508,,11717.75789,,4387.878995,,-818.408163,,-4669.84795,,-7358.381731
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,33913.06839,,29235.44334,,19620.31904,,10512.50416,,4246.279284,,-852.720182,,-4621.536587,,-7191.202214
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,31663.9319,,25827.50716,,15705.85152,,8126.249832,,3070.677851,,765.1920732,,-1055.001563,,-2268.134096
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,28860.48083,,20784.87123,,13972.32515,,8903.454506,,5887.669416,,3571.053532,,1307.931936,,539.8150203
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,33029.29695,,28260.00749,,18434.84599,,9758.652459,,3991.157977,,-383.2506778,,-3454.152009,,-5643.336196
MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,41037.40834,,27335.55874,,18517.25538,,13137.92992,,8391.855969,,5966.895331,,4321.451495,,2711.104774,,2187.169132
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,42402.25662,,30555.44192,,23757.8827,,13372.196,,5583.297784,,-502.6014512,,-4511.695579,,-7721.344205,,-9683.27296
